lgn,lat,temperature,wind speed,precipitation,visibility
-98.937056,36.200389,21.28,71.94,0.0001,10.0
-97.761556,35.618306,20.66,71.78,0.0001,9.9
-152.370949,58.191033,19.34,34.795,0.0079,5.26
-98.645389,44.97475,18.82,57.44,0.0006,10.0
-99.331611,36.217083,18.81,70.845,0.0001,8.56
-96.786389,37.800194,18.48,72.33500000000001,0.0001,9.88
-99.720639,45.949806,18.35,51.47,0.0021,3.49
-97.066889,38.375167,17.94,68.265,0.0001,10.0
-97.099444,36.728056,17.69,73.85,0.0001,9.98
-98.386833,36.225361,17.39,71.465,0.0001,9.57
-97.7325,46.237222,17.35,53.650000000000006,0.0003,9.89
-162.273678,60.866594,17.17,24.405,0.0,9.52
-101.705134,35.218274,16.85,70.64,0.0,10.0
-101.879639,35.219972,16.85,70.215,0.0,9.99
-162.116667,60.7,16.55,24.82,0.0,9.55
-98.584028,38.852889,16.4,70.66499999999999,0.004,9.87
-99.0205,46.338583,16.04,52.525000000000006,0.0032,9.91
-97.4,27.783333,15.89,73.37,0.0001,9.76
-95.977806,40.741694,14.91,70.325,0.0003,9.79
-97.394361,27.928,14.79,72.41,0.0001,9.63
-95.494833,46.3385,14.7,51.165,0.0009,10.0
-94.939111,46.03575,14.32,51.275000000000006,0.0017,9.83
-108.216667,43.65,13.8,53.754999999999995,0.0095,6.72
-99.611972,33.498167,13.61,72.425,0.0001,10.0
-102.9825,41.099444,13.33,52.125,0.0055,9.71
-99.798389,42.941667,13.19,54.885,0.0032,8.5
-161.938333,65.908056,13.17,15.535,0.0004,7.23
-157.713056,64.878056,13.13,24.05,0.0019,7.77
-97.324458,28.2934,12.7,71.08,0.0001,9.37
-97.028056,40.550028,12.55,70.815,0.0001,8.62
-97.036128,32.897462,12.25,70.405,0.0001,10.0
-95.794528,43.033139,12.24,68.285,0.0039,9.75
-101.937833,36.142028,12.21,67.45,0.0,9.99
-95.4695,43.274722,12.16,69.325,0.0082,8.37
-95.785972,36.267639,12.15,71.505,0.0001,9.52
-93.883333,42.066667,12.13,67.585,0.0001,8.97
-95.669278,35.956556,12.07,70.455,0.0001,9.58
-96.869472,33.084556,12.06,70.4,0.0001,10.0
-96.383139,32.920694,12.03,68.155,0.0001,9.98
-101.914611,34.56825,12.03,66.805,0.0,9.74
-95.686167,41.761,11.93,66.065,0.0002,5.4
-97.820914,31.061821,11.9,69.78,0.0001,9.86
-101.462444,45.983333,11.81,50.31,0.0007,9.97
-93.446833,41.046111,11.8,67.44,0.0003,9.17
-93.738333,40.458417,11.68,66.81,0.0003,8.0
-117.916667,38.866667,11.46,50.625,0.001,10.0
-92.668583,42.066583,11.26,67.295,0.0006,8.45
-97.533556,33.073472,11.22,69.66,0.0001,9.98
-107.9095,48.494417,11.19,53.695,0.0001,9.99
-102.140667,36.24475,11.06,64.83500000000001,0.0,10.0
-97.35,32.816667,11.0,69.655,0.0001,9.84
-93.585444,43.566222,10.96,69.455,0.0008,10.0
-93.616667,40.083333,10.92,67.18,0.0005,10.0
-102.645278,32.461111,10.72,73.99000000000001,0.0,9.99
-94.297109,36.275259,10.7,66.965,0.0001,9.75
-98.471111,32.979722,10.5,72.485,0.0001,9.83
-97.427781,32.771494,10.5,70.175,0.0001,9.97
-116.826639,44.565528,10.49,51.35,0.0001,3.72
-156.375,65.7025,10.27,27.315,0.0004,9.95
-97.154194,47.443972,10.27,53.730000000000004,0.0001,5.1
-93.135139,37.183833,10.24,66.91,0.0,6.77
-96.267403,32.709202,10.19,66.955,0.0001,9.92
-109.073889,35.670556,10.11,55.435,0.0,9.86
-95.991333,32.815194,9.98,68.415,0.0001,9.94
-95.057868,29.666706,9.95,67.225,0.0001,8.91
-103.422528,49.035167,9.7,51.894999999999996,0.0001,9.76
-98.095556,40.991389,9.64,70.445,0.0015,9.94
-97.337028,47.549861,9.53,53.769999999999996,0.001,5.72
-158.431667,58.876667,9.5,32.295,0.0002,9.87
-135.347222,58.294444,9.44,44.730000000000004,0.0129,8.23
-96.755556,34.309278,9.34,69.455,0.0001,9.99
-91.950944,43.95825,9.27,67.465,0.0001,9.46
-100.758211,46.77448,9.11,52.019999999999996,0.0002,7.9
-91.536806,39.794889,9.03,67.35,0.0,9.8
-102.557444,36.167,9.01,62.754999999999995,0.0,9.91
-99.735,29.201944,8.96,70.295,0.0001,9.99
-157.171528,59.026056,8.93,30.25,0.0007,9.64
-110.566667,45.666667,8.88,44.849999999999994,0.0094,7.53
-91.3275,40.658889,8.86,65.84,0.0001,9.91
-94.306033,39.33017,8.85,69.14500000000001,0.0001,9.27
-70.059722,41.256667,8.74,53.82,0.0169,4.0
-115.558778,40.129861,8.65,35.6,0.0062,8.69
-145.725642,64.049829,8.64,39.400000000000006,0.0,10.0
-150.201896,67.253829,8.64,32.254999999999995,0.0012,8.42
-110.85,31.416667,8.63,69.39,0.0,9.96
-95.666667,29.816667,8.6,68.49,0.0001,9.9
-95.333333,29.766667,8.59,68.43,0.0001,9.99
-100.415,37.368611,8.51,69.06,0.0003,8.97
-88.914834,40.48401,8.46,56.44500000000001,0.0,9.98
-105.092694,37.58825,8.37,55.224999999999994,0.0001,8.96
-88.234778,44.042417,8.32,60.540000000000006,0.0001,9.96
-120.513889,40.832306,8.29,48.59,0.0007,9.98
-82.625278,27.766944,8.27,68.56,0.0002,9.69
-135.217683,57.779639,8.22,44.44,0.0186,8.19
-91.535222,46.663306,7.96,42.955,0.008,8.29
-165.448361,64.797944,7.95,5.5200000000000005,0.0001,8.32
-113.741861,43.074056,7.77,49.935,0.0062,3.0
-156.433333,63.1,7.74,30.545,0.0043,7.42
-95.615111,32.813778,7.69,66.64500000000001,0.0,9.98
-124.115,40.805,7.67,51.42,0.0001,8.3
-115.380361,33.886306,7.63,74.05,0.0005,10.0
-90.182116,43.211908,7.56,64.365,0.0002,9.67
-91.242556,39.399333,7.43,62.67,0.0001,8.73
-158.853611,56.308806,7.41,30.17,0.0021,5.64
-155.601923,62.950732,7.34,35.84,0.0017,8.5
-89.680833,41.74,7.3,63.08,0.0001,9.43
-156.950481,20.790084,7.29,66.91499999999999,0.0001,9.76
-86.433333,43.519444,7.04,54.3,0.0001,9.31
-93.809167,30.091667,6.84,64.78,0.0001,9.94
-81.75501,24.553574,6.78,74.33500000000001,0.0001,9.97
-120.066667,36.95,6.73,63.394999999999996,0.0001,7.83
-116.508444,33.822976,6.64,71.645,0.0002,9.24
-91.456972,33.459778,6.63,63.185,0.0,9.28
-120.566667,46.983333,6.6,56.59,0.0001,4.7
-90.428889,40.938611,6.58,62.08,0.0001,9.99
-88.645556,44.249833,6.57,62.065,0.0004,9.9
-88.140889,42.396111,6.47,60.120000000000005,0.0001,10.0
-152.5,63.666667,6.34,35.33,0.0,9.94
-115.666667,36.583333,6.33,69.71000000000001,0.0002,9.96
-92.752611,32.086611,6.31,63.27499999999999,0.0001,10.0
-88.125833,42.875167,6.13,61.790000000000006,0.0001,10.0
-79.333333,42.483333,6.12,41.5,0.0008,7.35
-111.990182,46.610518,6.06,48.760000000000005,0.0043,9.7
-92.031694,37.450917,5.81,62.9,0.0,8.58
-92.734472,30.326944,5.75,64.275,0.0001,9.68
-90.424861,45.7895,5.72,51.72,0.0031,9.62
-141.25,60.0,5.65,36.75,0.036,3.55
-91.3155,44.310694,5.64,64.115,0.0003,9.97
-112.357722,40.722722,5.64,55.125,0.0081,9.59
-91.81,30.040694,5.57,63.92,0.0002,9.78
-91.226639,32.908806,5.55,64.53,0.0,10.0
-109.072092,41.598034,5.49,45.835,0.0071,3.53
-89.880806,40.543444,5.48,62.675000000000004,0.0001,9.93
-77.616667,40.683333,5.31,58.400000000000006,0.0008,10.0
-70.594694,41.4345,5.29,54.535,0.0085,4.86
-94.750278,31.234167,5.25,63.955,0.0,9.84
-88.095618,41.681697,5.21,60.56,0.0001,10.0
-99.979,39.044528,5.19,70.775,0.0013,9.95
-81.447139,36.574583,5.17,43.97,0.0002,9.88
-78.766111,39.614444,5.04,57.82000000000001,0.0002,9.96
-78.280667,40.495167,5.02,56.635000000000005,0.0003,9.41
-117.014444,46.374722,5.02,59.375,0.0001,6.19
-104.085389,46.98625,4.99,49.745,0.0183,8.67
-89.4545,38.078833,4.97,58.105,0.0,9.95
-121.569722,39.098056,4.96,62.2,0.0001,9.57
-86.097806,43.489056,4.95,56.675,0.0001,9.94
-79.892111,40.334028,4.91,51.455,0.0004,9.71
-141.148611,64.776667,4.79,37.81,0.0001,10.0
-89.265833,45.929167,4.72,46.92,0.0008,9.98
-109.640111,37.25,4.67,64.385,0.0001,9.57
-106.048666,38.538248,4.66,53.065,0.0003,10.0
-112.533333,37.05,4.64,54.89,0.0036,9.8
-76.580056,38.15125,4.56,57.025000000000006,0.0003,9.84
-122.30862,37.782127,4.54,56.765,0.0001,9.67
-90.660833,29.566944,4.53,61.464999999999996,0.0006,7.92
-92.234667,31.710056,4.46,61.46000000000001,0.0,8.71
-122.926667,47.076667,4.42,51.59,0.0002,8.58
-90.622472,44.631278,4.33,62.260000000000005,0.0009,9.13
-115.325917,44.001778,4.33,44.9,0.0014,6.32
-114.994222,35.544361,4.3,59.325,0.0004,7.67
-149.401944,60.510972,4.28,43.985,0.008,2.9
-87.575333,41.150333,4.27,54.485,0.0001,9.99
-84.616667,33.419444,4.22,57.08,0.0001,5.91
-90.011722,36.874694,4.21,59.239999999999995,0.0,9.95
-75.079292,39.364644,4.19,58.325,0.0001,9.75
-93.514528,31.648972,4.15,64.88,0.0,9.54
-119.206389,34.201111,4.14,58.34,0.0001,9.97
-108.790472,48.611083,4.1,53.025000000000006,0.0001,9.98
-94.393583,32.915278,4.09,63.68,0.0,9.66
-94.034907,30.885701,4.05,62.745000000000005,0.0,8.86
-69.1225,44.496667,4.05,54.91,0.0021,3.74
-86.816667,41.7,4.03,54.245000000000005,0.0001,9.69
-148.989833,64.012083,4.03,40.765,0.0,10.0
-109.636769,32.853332,4.01,73.72,0.0,10.0
-85.288056,43.222806,3.97,54.29,0.0001,9.96
-74.293389,40.512472,3.95,58.14,0.0001,9.79
-123.871083,46.806556,3.94,48.525,0.0003,4.97
-82.406806,33.015417,3.93,59.765,0.0001,8.41
-83.483333,31.433333,3.92,62.595,0.0001,9.89
-76.067778,38.802778,3.92,61.44500000000001,0.0002,9.94
-83.139233,33.597227,3.92,58.185,0.0001,9.32
-119.462278,36.602278,3.91,61.040000000000006,0.0001,9.71
-157.333333,70.5,3.91,2.789999999999999,0.0,5.38
-82.183333,28.233333,3.91,63.775,0.0001,9.97
-72.455191,41.92479,3.91,58.235,0.002,9.85
-117.933333,33.616667,3.9,59.56,0.0001,9.72
-75.163417,39.590056,3.89,59.394999999999996,0.0002,9.96
-108.682611,38.287972,3.86,63.31999999999999,0.0001,9.99
-87.414056,39.825389,3.8,54.335,0.0001,8.62
-84.558222,43.225306,3.8,53.515,0.0001,9.6
-81.653889,27.988056,3.7,66.725,0.0001,9.88
-115.681472,43.635056,3.69,45.055,0.0056,3.74
-123.425278,40.3125,3.68,50.589999999999996,0.0001,10.0
-85.398028,43.471361,3.63,54.26,0.0001,8.79
-77.038667,40.017611,3.63,57.97,0.0016,9.45
-80.3,37.8,3.58,49.599999999999994,0.0001,9.69
-84.438694,43.058639,3.53,53.915,0.0001,9.38
-93.868778,47.699472,3.5,49.254999999999995,0.0119,8.66
-86.225,41.841667,3.49,55.15,0.0001,9.76
-117.325833,35.812778,3.49,68.59,0.0005,9.48
-88.352194,44.712194,3.48,59.375,0.0001,9.77
-117.857693,33.670417,3.46,60.295,0.0001,9.8
-81.833333,27.9,3.41,66.49,0.0001,9.78
-70.911639,42.90925,3.38,57.285,0.003,6.64
-74.592989,40.014634,3.34,60.865,0.0001,9.97
-79.72125,40.039361,3.29,49.65,0.0003,9.34
-78.93075,34.551694,3.22,54.489999999999995,0.0001,9.69
-80.257278,40.816194,3.22,48.915,0.0036,7.41
-84.983333,32.466667,3.21,60.61,0.0001,7.79
-88.7725,37.061111,3.17,59.06999999999999,0.0,9.97
-80.466667,25.066667,3.16,70.1,0.0001,9.43
-85.852917,42.275389,3.16,54.675,0.0001,9.51
-76.411667,39.321667,3.16,61.18000000000001,0.0004,9.66
-121.363611,39.504444,3.15,58.545,0.0001,9.16
-113.138889,37.049444,3.14,64.12,0.0012,9.92
-82.841389,31.109167,3.1,62.57,0.0001,9.72
-71.711833,43.073056,3.08,59.125,0.0035,6.05
-83.907944,43.230833,3.06,53.57,0.0001,9.57
-112.000164,33.435036,3.02,78.495,0.0,9.75
-118.033333,34.083333,3.0,65.875,0.0002,9.28
-76.608832,37.132548,2.97,58.825,0.0002,9.84
-98.861917,41.508444,2.97,63.485,0.0042,9.67
-86.04725,41.719944,2.96,54.17,0.0001,8.95
-71.176789,42.192124,2.96,62.245000000000005,0.0021,9.68
-119.027917,47.770944,2.95,56.175,0.0,3.72
-89.1505,34.772667,2.92,58.605,0.0001,10.0
-72.920583,44.117278,2.91,54.834999999999994,0.0025,8.4
-117.242902,34.098476,2.89,60.285,0.0004,8.95
-71.15,42.466667,2.89,61.595,0.002,8.82
-122.77325,46.034472,2.88,52.59,0.0001,9.89
-78.7725,42.250639,2.84,45.614999999999995,0.0021,7.62
-80.483333,35.666667,2.82,54.365,0.0002,9.99
-110.55,41.783333,2.74,42.355,0.0261,8.83
-87.79775,39.160417,2.72,52.735,0.0,7.45
-123.002778,39.598806,2.72,51.145,0.0001,10.0
-80.47071,33.972178,2.68,55.78,0.0001,9.93
-89.072029,30.413284,2.66,59.66,0.0001,9.97
-88.105528,31.032389,2.63,59.535000000000004,0.0,9.02
-72.04525,43.067472,2.59,57.49,0.0019,7.76
-83.272354,30.784051,2.57,61.175,0.0001,9.9
-87.823806,30.904639,2.54,59.58500000000001,0.0,9.8
-116.184167,46.025583,2.51,51.135,0.0005,3.98
-83.006667,43.909167,2.51,48.63,0.001,9.26
-118.477528,47.198722,2.46,53.05499999999999,0.0,4.35
-79.388796,35.237611,2.46,54.165,0.0001,9.93
-76.213333,42.185361,2.44,56.325,0.0013,9.54
-86.319417,40.592056,2.43,51.205,0.0001,8.49
-89.133611,35.344583,2.37,59.825,0.0001,9.96
-90.828972,37.217167,2.35,59.004999999999995,0.0,10.0
-86.058056,40.529722,2.34,49.669999999999995,0.0001,8.47
-80.221679,27.182892,2.32,64.66499999999999,0.0001,8.61
-106.389472,40.086806,2.32,46.834999999999994,0.0008,5.72
-85.85,31.316667,2.31,58.41,0.0001,9.87
-82.217053,34.890569,2.3,55.165,0.0001,9.94
-80.066667,34.383333,2.2,52.925,0.0001,9.86
-113.168702,34.59398,2.19,60.480000000000004,0.0,4.16
-82.663889,42.647222,2.17,51.485,0.0018,8.92
-71.675806,44.389528,2.11,55.69,0.0034,6.29
-83.893889,42.500361,2.09,53.705,0.0011,8.34
-81.608889,40.766111,2.01,48.15,0.0001,4.34
-88.294528,31.468333,1.96,59.64,0.0,10.0
-81.683333,35.75,1.95,52.265,0.0001,9.26
-85.9,35.183333,1.94,50.754999999999995,0.0001,8.35
-78.371399,42.241199,1.93,46.629999999999995,0.0012,8.21
-115.4985,45.876861,1.93,49.505,0.0102,4.81
-87.055639,39.144889,1.9,53.7,0.0002,8.16
-122.903111,41.631944,1.83,57.010000000000005,0.0001,9.66
-84.565556,41.473611,1.78,51.025,0.0001,3.23
-122.632401,48.18947,1.74,47.905,0.0002,7.52
-115.629056,45.851833,1.74,47.585,0.0086,5.0
-85.236111,30.522222,1.74,60.97,0.0001,9.84
-86.699583,36.190239,1.73,56.13,0.0002,7.72
-81.060829,29.185192,1.71,61.175,0.0001,9.73
-80.144908,26.071492,1.66,70.3,0.0001,9.86
-77.597111,38.656778,1.66,57.115,0.0009,8.96
-149.418056,60.133333,1.64,45.915,0.0173,8.31
-114.217778,47.607694,1.64,49.205,0.0012,9.98
-80.6,28.316667,1.62,64.97,0.0001,9.8
-82.90025,36.525694,1.62,53.125,0.0001,9.95
-86.138361,31.498889,1.62,58.44,0.0001,9.79
-79.553,35.729167,1.61,53.19,0.0001,9.61
-87.770278,32.814389,1.6,60.339999999999996,0.0001,9.82
-84.1,40.766667,1.58,51.495,0.0001,5.26
-122.464694,44.856778,1.56,43.565,0.0002,8.14
-83.279083,42.629444,1.45,54.72,0.0019,9.79
-87.427917,34.245472,1.45,57.825,0.0001,9.88
-77.460111,37.780333,1.38,56.019999999999996,0.0004,9.98
-81.289917,41.289444,1.35,47.765,0.0001,3.75
-78.2,37.0515,1.33,51.795,0.0005,9.98
-87.225278,37.306111,1.32,55.019999999999996,0.0001,8.89
-74.895944,43.117361,1.31,50.905,0.0023,8.77
-122.022778,44.445556,1.29,45.22,0.0003,8.89
-80.264806,26.953722,1.25,63.86,0.0001,9.08
-87.388806,32.098694,1.22,59.239999999999995,0.0,9.79
-89.334,33.334583,1.19,60.13,0.0001,9.94
-86.087222,33.973611,1.18,54.18,0.0001,9.96
-81.758968,41.131985,1.16,49.15,0.0001,4.05
-86.283333,33.583333,1.12,55.150000000000006,0.0001,9.68
-121.873417,47.906583,1.09,52.66,0.0003,4.12
-114.337417,48.285694,1.06,49.885000000000005,0.0001,9.98
-84.675694,35.523028,1.01,55.13,0.0001,9.45
-82.306389,40.929722,1.01,49.56,0.0001,4.7
-81.75017,41.003325,1.0,49.45,0.0001,4.37
-116.404778,48.813278,0.97,53.39,0.0002,4.0
-84.669167,40.244167,0.96,51.43000000000001,0.0001,4.45
-114.588667,36.410889,0.96,68.39500000000001,0.0021,8.84
-83.875,44.5,0.95,49.195,0.0001,9.59
-84.7755,45.952917,0.89,50.45,0.0002,9.29
-83.75,46.016667,0.88,46.19,0.001,9.49
-87.263917,36.828194,0.83,54.44,0.0,9.32
-77.966667,38.0,0.75,52.425,0.0004,9.87
-75.533333,42.533333,0.72,55.325,0.0007,9.92
-112.064722,48.186389,0.69,43.92,0.0001,9.45
-85.484178,37.822034,0.65,53.305,0.0004,7.45
-114.734639,47.724361,0.62,45.375,0.0006,9.89
-73.521111,44.688333,0.58,55.510000000000005,0.0011,8.48
-85.383333,38.733333,0.52,53.755,0.0003,7.3
-83.881789,38.882121,0.48,52.885000000000005,0.0001,6.03
-75.821417,40.534278,0.43,61.25,0.0003,9.99
-84.048289,39.826093,0.26,52.96,0.0001,6.12

state,average elevation of airports
AK,283.04347826086956
AL,322.9
AR,706.0
AZ,4000.3333333333335
CA,1097.7222222222222
CO,6990.25
CT,291.0
FL,46.416666666666664
GA,366.14285714285717
HI,1308.0
IA,1132.375
ID,3701.0
IL,640.375
IN,587.125
KS,1898.8
KY,536.75
LA,119.28571428571429
MA,25.0
MD,222.5
ME,195.0
MI,751.0
MN,1342.75
MO,821.0
MS,348.3333333333333
MT,3189.125
NC,1065.0
ND,1641.5714285714287
NE,2163.0
NH,946.3333333333334
NJ,96.25
NV,3756.8
NY,1064.0
OH,996.9
OK,1171.75
OR,2403.0
PA,910.7142857142857
SC,523.3333333333334
SD,1831.0
TN,996.8
TX,1172.6666666666667
UT,4552.0
VA,292.2
VT,1470.0
WA,779.375
WI,1053.2
WV,0.0
WY,6207.333333333333
